tele_protection,399,0.01162824585434092
22_vt_3p,405,0.011803106694255822
22_ds,480,0.013988867193192084
115_1way_ds_w_motor,2457,0.07160551394515198
115_gs_w_motor,336,0.009792207035234458
115_buffer,407,0.011861393640894122
11522_tx_ynyn0d1,424,0.012356832687319675
115_breaker,1194,0.03479730714306531
115_la,1340,0.03905225424766123
DIM,588,0.017136362311660304
115_cvt_3p,429,0.012502550053915425
115_3ways_ds_w_motor,808,0.023547926441873344
v_m_digital,437,0.012735697840468628
115_cvt_1p,421,0.012269402267362225
terminator_single,2788,0.08125200361379069
22_ds_la_out,1418,0.04132544516655495
terminator_splicing_kits,397,0.01156995890770262
remote_io_module,434,0.012648267420511176
LL,1718,0.0500684871623
DPM,1580,0.04604668784425728
ss_man_mode,587,0.017107218838341154
22_breaker,2065,0.06018127240404511
22_gs,2526,0.07361641360417334
terminator_w_future,2161,0.06297904584268353
22_ll,2554,0.07443243085710954
v_m,433,0.012619123947192026
115_vt_3p,410,0.011948824060851572
115_ds,464,0.013522571620085681
115_vt_1p,411,0.011977967534170722
Q,407,0.011861393640894122
22_cap_bank,410,0.011948824060851572
BCU,409,0.011919680587532422
115_gs,420,0.012240258794043075
terminator_double,961,0.02800687785970332
11522_tx_dyn1,408,0.011890537114213272
NGR_future,428,0.012473406580596275
MU,799,0.02328563518200099
